"STATION","NAME","DATE","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFM","WESD","WSF2","WSF5","WSFM","WT01","WT02","WT05","WT07","WT08","WT09","WT13","WT16","WT18","WT19"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-05","    0",,,,"0.00","  100","0.0","0.0",,"84","54","  762",,,"  225",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-06","   40",,,,"0.00","  100","0.0","0.0",,"76","57","  762",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-07","   60",,,,"0.00","   94","0.0","0.0",,"68","58","  720",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-08","   40",,,,"0.00","   94","0.0","0.0",,"68","53","  726",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-09","   20",,,,"0.00","   97","0.0","0.0",,"74","54","  744",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-10","   30",,,,"0.00","   95","0.0","0.0",,"81","57","  738",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-11","    0",,,,"0.00","  100","0.0","0.0",,"77","58","  774",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-12","   10",,,,"0.00","  100","0.0","0.0",,"78","55","  774",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-13","   40",,,,"0.00","   83","0.0","0.0",,"63","52","  642",,,"  225",,,,"21.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-14","   10",,,,"0.00","  100","0.0","0.0",,"61","47","  780",,,"  225",,,,"17.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-15","   10",,,,"0.00","   96","0.0","0.0",,"66","48","  756",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-16","  100",,,,"0.00","   60","0.0","0.0",,"62","52","  474",,,"  135",,,,"8.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-17","   40",,,,"0.00","   90","0.0","0.0",,"63","52","  708",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-18","   10",,,,"0.00","  100","0.0","0.0",,"66","51","  786",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-19","   40",,,,"0.00","   94","0.0","0.0",,"66","53","  744",,,"  315",,,,"17.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-20","   40",,,,"0.00","   91","0.0","0.0",,"71","52","  720",,,"  225",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-21","   30",,,,"0.00","   93","0.0","0.0",,"59","49","  738",,,"  225",,,,"31.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-22","    0",,,,"0.00","  100","0.0","0.0",,"67","46","  792",,,"  225",,,,"16.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-23","    0",,,,"0.00","  100","0.0","0.0",,"74","49","  798",,,"  225",,,,"16.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-24","    0",,,,"0.00","  100","0.0","0.0",,"72","50","  798",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-25","    0",,,,"0.00","  100","0.0","0.0",,"76","54","  804",,,"  225",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-26","   80",,,,"0.00","   60","0.0","0.0",,"64","54","  486",,,"  225",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-27","   60",,,,"0.00","   69","0.0","0.0",,"60","51","  552",,,"  225",,,,"25.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-28","   20",,,,"0.00","  100","0.0","0.0",,"60","45","  810",,,"  225",,,,"23.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-29","   10",,,,"0.00","  100","0.0","0.0",,"66","47","  810",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-30","    0",,,,"0.00","  100","0.0","0.0",,"74","51","  810",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-01","    0",,,,"0.00","  100","0.0","0.0",,"84","58","  816",,,"  270",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-02","    0",,,,"0.00","  100","0.0","0.0",,"86","60","  816",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-03","   60",,,,"0.00","   73","0.0","0.0",,"94","64","  600",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-04","   40",,,,"0.00","   95","0.0","0.0",,"80","55","  780",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-05","   20",,,,"0.00","   90","0.0","0.0",,"72","55","  738",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-06","   70",,,,"0.00","   56","0.0","0.0",,"66","54","  462",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-07","   40",,,,"0.00","   80","0.0","0.0",,"67","52","  654",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-08","   30",,,,"0.00","   99","0.0","0.0",,"69","53","  816",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-09","   50",,,,"0.00","   74","0.0","0.0",,"70","56","  606",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-10","   40",,,,"0.00","   73","0.0","0.0",,"69","58","  606",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-11","   40",,,,"0.00","   95","0.0","0.0",,"70","54","  786",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-12","   20",,,,"0.00","   96","0.0","0.0",,"71","54","  798",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-13","   10",,,,"0.00","  100","0.0","0.0",,"77","55","  834",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-14","    0",,,,"0.00","  100","0.0","0.0",,"89","59","  834",,,"  270",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-15","    0",,,,"0.00","  100","0.0","0.0",,"101","66","  834",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-16","    0",,,,"0.00","  100","0.0","0.0",,"91","64","  840",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-17","   10",,,,"0.00","   95","0.0","0.0",,"92","63","  798",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-18","   20",,,,"0.00","   93","0.0","0.0",,"80","59","  780",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-19","   30",,,,"0.00","   79","0.0","0.0",,"76","58","  666",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-20","   70",,,,"0.00","   61","0.0","0.0",,"71","58","  516",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-21","   40",,,,"0.00","   67","0.0","0.0",,"74","58","  564",,,"  225",,,,"11.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-22","   30",,,,"0.00","   94","0.0","0.0",,"76","58","  798",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-23","   80",,,,"0.00","   42","0.0","0.0",,"75","59","  360",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-24","   70",,,,"0.00","   38","0.0","0.0",,"73","59","  324",,,"  225",,,,"10.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-05-25","  100",,,,"0.00","    0","0.0","0.0",,"67","62","    0",,,"  225",,,,"8.9",,,,,,,,,,
